Category,Size,Demand,BaseCost,Price
2,2,2,583,758.1621849859091
1,1,2,664,865.5490296882372
2,2,0,250,377.4967264260378
2,1,0,243,419.94249661737496
1,1,2,668,815.0189785308703
1,0,0,138,213.68102574893533
2,1,1,208,234.81478158559494
0,0,2,792,1055.3219417029377
2,2,0,141,261.1807439044445
2,2,2,285,314.26789540810654
2,2,1,497,469.99429146321893
2,2,2,322,482.4838410949255
1,0,2,733,969.5157005989796
2,2,2,232,264.1756731721723
0,1,2,262,418.1575987761262
1,1,1,314,351.183731714643
0,1,2,832,1140.5648592031914
0,0,2,334,437.57592407050544
0,2,0,942,1610.2373962440995
0,2,2,757,1071.8670421221602
1,2,0,850,1347.5517925760464
1,0,1,687,804.2785475477178
0,1,1,108,151.0687974792574
0,1,1,173,258.73157787661745
1,2,1,591,601.8538269709948
1,1,0,352,597.502572999922
1,1,2,329,480.62122434247937
2,0,1,618,591.8630256788443
2,0,2,273,295.7370743667113
2,0,0,752,1101.238391111995
0,0,0,267,413.72965827777216
2,2,0,269,466.27711278979814
0,0,1,492,616.3178526048015
0,1,2,894,1165.9047390209887
2,2,2,733,1034.3307772785645
0,1,2,293,311.8949270892555
2,1,0,616,900.4308780322423
2,1,1,128,138.02261505516907
1,0,0,264,441.6032724469654
2,0,0,521,831.9652625952954
1,2,2,438,466.02789499800616
2,2,0,747,1190.7439980243607
2,0,2,595,708.2765249747573
1,1,1,464,543.883627441502
1,2,2,932,1229.9299123048424
2,0,1,441,438.10601068363223
0,0,2,599,753.0066541331654
1,0,0,756,1156.6393239055526
0,1,0,610,972.8660451363414
0,0,1,426,516.3571160250619
0,0,1,316,298.3136976832228
1,0,1,400,465.2023257758923
0,0,2,231,273.78711908137797
1,2,2,903,1134.2563583868828
0,2,1,169,180.54848200227212
2,0,0,351,509.8378838790313
2,1,2,514,640.5175347326409
1,2,2,886,1091.9061053705575
2,0,2,544,805.4362566458195
2,2,1,975,1074.2631775985865
0,2,1,281,274.11372460037074
1,1,1,266,303.2989955367111
0,0,1,190,203.38359751545855
0,0,1,813,883.2515200233389
0,1,0,957,1561.9083350021713
0,1,0,630,1045.8753855023654
0,0,1,138,125.27494261947363
0,0,2,225,263.709087967766
0,1,1,550,591.2474151424178
1,2,0,272,320.1039417632208
2,2,0,752,1127.4404468900725
0,1,2,853,1177.2437133722262
0,2,0,319,592.6483856750642
0,1,1,737,798.2481980221811
0,2,2,157,232.92784815278833
0,2,1,759,850.4625077271769
0,0,1,575,786.4440404227619
2,0,2,555,777.4787455717288
2,2,1,928,1014.4041204259618
0,2,0,994,1542.6229779699788
2,0,1,460,425.67768398712144
1,0,2,100,140.17318179336115
0,0,2,486,593.9824627357849
1,1,2,447,509.98731452011634
1,2,1,289,285.5713557878737
0,0,2,604,731.1225998192803
2,2,2,290,461.3570817536282
1,1,1,607,711.7819878474726
0,1,0,468,748.4013679341692
1,0,1,508,632.7972069445013
1,1,2,923,1203.768415382381
1,2,2,216,237.73578993358683
1,0,1,233,332.45620386348287
2,2,0,157,278.14550218423295
1,2,2,655,799.6376922836772
1,1,2,784,1009.6830660958196
1,1,2,771,958.5190873307622
2,1,1,272,230.06001345178325
1,1,2,928,1252.7088773765822
1,1,0,914,1557.8708320235066
2,0,2,248,252.47162130904297
2,2,2,179,260.84846183452856
2,2,0,985,1543.4678715439086
1,2,2,312,381.2437308117652
2,2,1,302,302.5803037880566
2,1,1,863,906.1004615160093
1,2,1,328,363.2260813972414
2,0,0,775,1198.4524941794482
1,0,2,326,437.322841288992
0,2,1,758,831.2880945275432
2,2,0,631,997.6525976566795
0,0,2,540,656.6218168979201
1,0,0,501,772.7614334715834
2,1,1,146,198.36956129128782
1,0,1,332,390.2458593812191
0,1,1,404,395.52223776007247
1,1,0,625,1004.9666152714613
2,1,0,242,424.7693561685895
2,1,1,514,481.9297359439315
0,1,0,612,1006.3680096189968
1,2,1,472,486.0688120527077
2,0,1,665,760.0299334296581
0,1,2,985,1242.3370421728741
2,0,0,358,482.55589496677413
2,0,1,755,749.122878105842
1,1,1,570,629.4042473330691
2,2,0,111,190.5861250860741
1,1,2,429,512.4841687447796
2,2,2,835,1117.4296229388688
0,0,1,883,888.2239968865521
2,2,0,457,727.8960100676342
1,2,2,507,598.5491900118772
1,2,0,767,1194.608194609892
0,0,0,472,757.5699335658207
2,0,1,107,74.67933173580238
2,2,2,221,268.0722227885087
0,2,1,447,542.014640460722
2,1,2,775,978.6554065238425
2,2,2,189,287.48460560325714
1,1,2,747,914.6146572671191
2,2,2,797,1062.5902088957644
2,1,2,415,611.578431032895
0,0,0,277,319.6177749936356
0,2,1,639,663.0552372264763
1,2,0,831,1358.4536063590272
2,2,2,968,1248.2477306978506
2,2,1,140,172.55729366856545
2,1,2,839,1060.500740664209
1,2,1,803,887.629489373645
1,0,0,601,953.8161382303961
0,0,1,244,326.7891030829904
1,2,1,300,342.7210421650607
2,0,1,823,922.1801331037602
2,2,1,560,595.4061516938766
1,2,1,831,889.7196887963753
2,0,2,851,1084.6720906090188
2,2,1,657,742.4226071189149
1,0,1,646,689.5507759589868
1,1,0,352,577.6887428448207
2,2,1,489,641.6700399322721
2,1,0,693,1152.3562351715846
2,0,2,982,1260.298823391608
0,1,1,355,450.5606961081973
0,1,0,808,1272.3962313489226
0,0,0,914,1360.4937732411074
1,1,2,549,663.2956844541299
0,1,1,109,26.360403948707216
1,0,1,923,997.7243257979346
1,1,0,897,1436.1209189594776
0,0,1,341,458.92186561376417
0,1,0,350,576.3463686882081
0,0,1,976,1062.644973559557
2,0,0,104,207.87027905917446
0,1,1,218,129.24323454960575
2,1,2,900,1181.7807279054282
1,1,1,473,558.8432596943484
2,2,1,164,106.47068771100793
0,2,2,245,375.6877021603465
1,2,1,323,372.2248203747207
1,0,2,338,418.63560430496
1,1,1,276,335.23909330531427
2,0,0,878,1518.33464289022
0,2,0,952,1532.2933127529247
1,1,1,381,431.5110293150168
1,0,1,162,155.23195502298782
1,1,1,316,305.10778152676045
2,0,0,953,1566.3167908272126
2,1,1,926,975.7958087045567
0,2,0,894,1433.9783118609698
2,2,2,788,1000.5171276617442
1,1,0,560,919.9489912873196
0,0,0,709,1151.0831052643475
1,2,2,204,317.076997212895
1,2,0,198,291.2991800572627
2,2,1,610,657.5062532353314
0,1,1,484,483.4618142108847
2,1,0,504,784.1853369961946
2,0,1,922,1033.0650246522428
0,0,0,617,1025.0494308322677
1,0,1,575,586.3917337911188
